lr-AdamW/pg2,step,valid_collapse,valid_loss_t,lr-AdamW/pg1,valid_loss,lr-AdamW/pg3,epoch,valid_loss_c,valid_loss_a,train_collapse,train_loss_t,train_loss,train_loss_c,train_loss_a
0.00025,0,,,0.00025,,0.00025,,,,,,,,
,425,0.001129755168221891,0.8456454277038574,,0.920244574546814,,0,0.9941132664680481,0.00036523627932183444,,,,,
,425,,,,,,0,,,0.011066843755543232,0.9608281254768372,0.9862440824508667,0.978626012802124,0.0165171567350626
0.00025038357637042607,426,,,0.00025038357637042607,,0.00025038357637042607,,,,,,,,
,851,0.0019053446594625711,0.8432689905166626,,0.9169974327087402,,1,0.9838946461677551,0.0034155824687331915,,,,,
,851,,,,,,1,,,0.004223151132464409,0.954387366771698,0.9528490900993347,0.9489020109176636,0.001204669359140098
0.000251531951388393,852,,,0.000251531951388393,,0.000251531951388393,,,,,,,,
,1277,0.06591104716062546,0.8367828726768494,,0.9226872324943542,,2,0.9576650261878967,0.025463202968239784,,,,,
,1277,,,,,,2,,,0.0709460899233818,0.929008424282074,0.9002161026000977,0.8331759572029114,0.01912413164973259
0.0002534380772215605,1278,,,0.0002534380772215605,,0.0002534380772215605,,,,,,,,
,1703,0.11923710256814957,0.8276155591011047,,0.9260867238044739,,3,0.939647376537323,0.04245520383119583,,,,,
,1703,,,,,,3,,,0.20920227468013763,0.9182860851287842,0.8998724818229675,0.8054707050323486,0.03799428790807724
0.0002560902555526698,1704,,,0.0002560902555526698,,0.0002560902555526698,,,,,,,,
,2129,0.1353309154510498,0.8232966661453247,,0.9332482814788818,,4,0.9323292374610901,0.055435311049222946,,,,,
,2129,,,,,,4,,,0.26544326543807983,0.9090737104415894,0.8967025876045227,0.7896888852119446,0.04732130467891693
0.0002594722093747134,2130,,,0.0002594722093747134,,0.0002594722093747134,,,,,,,,
,2555,0.1511959433555603,0.8085523247718811,,0.9192579984664917,,5,0.9097782373428345,0.0600927509367466,,,,,
,2555,,,,,,5,,,0.28848591446876526,0.897549569606781,0.8831248879432678,0.7618132829666138,0.05344328656792641
0.0002635631828865392,2556,,,0.0002635631828865392,,0.0002635631828865392,,,,,,,,
,2981,0.14437884092330933,0.8060616850852966,,0.9238746762275696,,6,0.9045515060424805,0.06856805831193924,,,,,
,2981,,,,,,6,,,0.296211838722229,0.88251131772995,0.8674054741859436,0.7346861362457275,0.05880674719810486
0.0002683380688758085,2982,,,0.0002683380688758085,,0.0002683380688758085,,,,,,,,
,3407,0.1459382325410843,0.8056869506835938,,0.9296010732650757,,7,0.910963237285614,0.07127588987350464,,,,,
,3407,,,,,,7,,,0.29814156889915466,0.8772367238998413,0.8635056018829346,0.7244450449943542,0.06266473978757858
0.0002737675628075298,3408,,,0.0002737675628075298,,0.0002737675628075298,,,,,,,,
,3833,0.15373463928699493,0.8023681640625,,0.9244798421859741,,8,0.8959657549858093,0.07531284540891647,,,,,
,3833,,,,,,8,,,0.29982790350914,0.8722622394561768,0.8582594394683838,0.7155129909515381,0.0643719732761383
0.0002798183426724939,3834,,,0.0002798183426724939,,0.0002798183426724939,,,,,,,,
,4259,0.152821347117424,0.7993741631507874,,0.9275137186050415,,9,0.8957019448280334,0.0799756571650505,,,,,
,4259,,,,,,9,,,0.30245426297187805,0.8660681843757629,0.85126793384552,0.7054782509803772,0.06549470126628876
0.0002864532734918391,4260,,,0.0002864532734918391,,0.0002864532734918391,,,,,,,,
,4685,0.1559213101863861,0.7894960045814514,,0.9245902299880981,,10,0.8917030096054077,0.08399064838886261,,,,,
,4685,,,,,,10,,,0.30764126777648926,0.8619151711463928,0.847698450088501,0.6996708512306213,0.06690549105405807
0.000293631635222658,4686,,,0.000293631635222658,,0.000293631635222658,,,,,,,,
,5111,0.17240318655967712,0.7880019545555115,,0.9209042191505432,,11,0.88404780626297,0.0848793014883995,,,,,
,5111,,,,,,11,,,0.31200873851776123,0.8616408109664917,0.8497328162193298,0.7007253170013428,0.0685497298836708
0.00030130937266593764,5112,,,0.00030130937266593764,,0.00030130937266593764,,,,,,,,
,5537,0.17338794469833374,0.7867950797080994,,0.923406720161438,,12,0.8841902017593384,0.0879141092300415,,,,,
,5537,,,,,,12,,,0.31685638427734375,0.8603981733322144,0.8496935367584229,0.6991877555847168,0.06990064680576324
0.0003094393658430928,5538,,,0.0003094393658430928,,0.0003094393658430928,,,,,,,,
,5963,0.16991424560546875,0.7832480072975159,,0.921170175075531,,13,0.8829187750816345,0.08808682858943939,,,,,
,5963,,,,,,13,,,0.3233872950077057,0.8554835915565491,0.8425748944282532,0.6899392604827881,0.06986352056264877
0.00031797171918173175,5964,,,0.00031797171918173175,,0.00031797171918173175,,,,,,,,
,6389,0.17188870906829834,0.7801523208618164,,0.9166309833526611,,14,0.8765695691108704,0.08827009797096252,,,,,
,6389,,,,,,14,,,0.3252321779727936,0.8560203909873962,0.8446928262710571,0.6917759776115417,0.07079435884952545
0.0003268540677358573,6390,,,0.0003268540677358573,,0.0003268540677358573,,,,,,,,
,6815,0.17333978414535522,0.7937296032905579,,0.937098503112793,,15,0.8979186415672302,0.09127437323331833,,,,,
,6815,,,,,,15,,,0.32798996567726135,0.8527905941009521,0.8408532738685608,0.6864268779754639,0.07124467194080353
0.00033603189856116133,6816,,,0.00033603189856116133,,0.00033603189856116133,,,,,,,,
,7241,0.17334331572055817,0.7833535671234131,,0.9287793636322021,,16,0.891411304473877,0.09139692783355713,,,,,
,7241,,,,,,16,,,0.32870644330978394,0.8523328900337219,0.8411257863044739,0.686290979385376,0.07181406021118164
0.00034544888527306226,7242,,,0.00034544888527306226,,0.00034544888527306226,,,,,,,,
,7667,0.1745947152376175,0.7758106589317322,,0.9147232174873352,,17,0.8752636313438416,0.08918605744838715,,,,,
,7667,,,,,,17,,,0.33321863412857056,0.8516003489494324,0.8410677909851074,0.6843098402023315,0.07311291247606277
0.00035504723373422717,7668,,,0.00035504723373422717,,0.00035504723373422717,,,,,,,,
,8093,0.1759003847837448,0.7785484790802002,,0.9162641167640686,,18,0.874947726726532,0.0895160362124443,,,,,
,8093,,,,,,18,,,0.3368235230445862,0.8507323861122131,0.8409342169761658,0.6832202672958374,0.0739579051733017
0.00036476803675001906,8094,,,0.00036476803675001906,,0.00036476803675001906,,,,,,,,
,8519,0.16829411685466766,0.7829315066337585,,0.9226004481315613,,19,0.8820984363555908,0.09008541703224182,,,,,
,8519,,,,,,19,,,0.3428918421268463,0.8489985466003418,0.8398221135139465,0.6806948781013489,0.07497532665729523
0.0003745516355950231,8520,,,0.0003745516355950231,,0.0003745516355950231,,,,,,,,
,8945,0.18361900746822357,0.7693360447883606,,0.9035623073577881,,20,0.8606342673301697,0.08857708424329758,,,,,
,8945,,,,,,20,,,0.3483056426048279,0.8463526368141174,0.8365382552146912,0.6766582727432251,0.07503290474414825
0.00038433798615188466,8946,,,0.00038433798615188466,,0.00038433798615188466,,,,,,,,
,9371,0.17828091979026794,0.7849090099334717,,0.9288445711135864,,21,0.8861410617828369,0.09331955015659332,,,,,
,9371,,,,,,21,,,0.353179395198822,0.8470237851142883,0.8379331231117249,0.6769130229949951,0.0759645402431488
0.00039406702741538247,9372,,,0.00039406702741538247,,0.00039406702741538247,,,,,,,,
,9797,0.17503710091114044,0.7817016839981079,,0.9236177206039429,,22,0.878951370716095,0.09329114109277725,,,,,
,9797,,,,,,22,,,0.35792794823646545,0.84478759765625,0.8355687260627747,0.6740283370018005,0.07616082578897476
0.00040367905010014744,9798,,,0.00040367905010014744,,0.00040367905010014744,,,,,,,,
,10223,0.18033845722675323,0.7707098126411438,,0.9071175456047058,,23,0.8588139414787292,0.09235566109418869,,,,,
,10223,,,,,,23,,,0.3646692633628845,0.8431221842765808,0.8338855504989624,0.6718544960021973,0.07639758288860321
0.00041311506308979747,10224,,,0.00041311506308979747,,0.00041311506308979747,,,,,,,,
,10649,0.176654651761055,0.77644944190979,,0.9180352687835693,,24,0.8739826679229736,0.09281934797763824,,,,,
,10649,,,,,,24,,,0.37012502551078796,0.8424138426780701,0.8330183625221252,0.6703320741653442,0.07664559036493301
0.00042231715547851083,10650,,,0.00042231715547851083,,0.00042231715547851083,,,,,,,,
,11075,0.184932678937912,0.7812885046005249,,0.9262938499450684,,25,0.8802153468132019,0.09554189443588257,,,,,
,11075,,,,,,25,,,0.3763235807418823,0.8395037651062012,0.8290035724639893,0.6663047671318054,0.07609931379556656
0.0004312288519831068,11076,,,0.0004312288519831068,,0.0004312288519831068,,,,,,,,
,11501,0.1863124668598175,0.7820760607719421,,0.9298098087310791,,26,0.877638578414917,0.09995249658823013,,,,,
,11501,,,,,,26,,,0.3801311254501343,0.8433130383491516,0.8353832960128784,0.6733591556549072,0.07704745978116989
0.0004397954595443923,11502,,,0.0004397954595443923,,0.0004397954595443923,,,,,,,,
,11927,0.19677582383155823,0.7676682472229004,,0.9090428948402405,,27,0.8608679175376892,0.09477479755878448,,,,,
,11927,,,,,,27,,,0.38480132818222046,0.8393809199333191,0.8292996883392334,0.6662796139717102,0.07646944373846054
0.0004479644029906038,11928,,,0.0004479644029906038,,0.0004479644029906038,,,,,,,,
,12353,0.19284997880458832,0.779629647731781,,0.9274699687957764,,28,0.8767792582511902,0.09926553815603256,,,,,
,12353,,,,,,28,,,0.3885144591331482,0.8402020335197449,0.8307204842567444,0.6677480340003967,0.07674561440944672
0.0004556855477029043,12354,,,0.0004556855477029043,,0.0004556855477029043,,,,,,,,
,12779,0.19159553945064545,0.7840225100517273,,0.9336864352226257,,29,0.8803211450576782,0.10151461511850357,,,,,
,12779,,,,,,29,,,0.38895636796951294,0.8394522070884705,0.8294893503189087,0.6659461855888367,0.07679031044244766
0.0004629115073026653,12780,,,0.0004629115073026653,,0.0004629115073026653,,,,,,,,
,13205,0.19798234105110168,0.77392578125,,0.9217726588249207,,30,0.86605304479599,0.10178327560424805,,,,,
,13205,,,,,,30,,,0.39178696274757385,0.8363328576087952,0.8258159756660461,0.6629456281661987,0.07617679983377457
0.00046959793447218885,13206,,,0.00046959793447218885,,0.00046959793447218885,,,,,,,,
,13631,0.19843967258930206,0.7794274687767029,,0.9278643131256104,,31,0.8736870288848877,0.10130705684423447,,,,,
,13631,,,,,,31,,,0.39390191435813904,0.8380947709083557,0.8281587958335876,0.6649302840232849,0.07664647698402405
0.0004757037931240381,13632,,,0.0004757037931240381,,0.0004757037931240381,,,,,,,,
,14057,0.19176694750785828,0.7826266884803772,,0.9369314908981323,,32,0.8834269642829895,0.10390464216470718,,,,,
,14057,,,,,,32,,,0.3968350291252136,0.8366259336471558,0.8263036012649536,0.6630762219429016,0.07645255327224731
0.0004811916102486128,14058,,,0.0004811916102486128,,0.0004811916102486128,,,,,,,,
,14483,0.19949351251125336,0.7834045886993408,,0.9381157159805298,,33,0.8814007639884949,0.10571306943893433,,,,,
,14483,,,,,,33,,,0.39998960494995117,0.8355648517608643,0.8255128264427185,0.6623672842979431,0.07654676586389542
0.0004860277058943258,14484,,,0.0004860277058943258,,0.0004860277058943258,,,,,,,,
,14909,0.211415633559227,0.7626097798347473,,0.9071046710014343,,34,0.8527334332466125,0.09943302720785141,,,,,
,14909,,,,,,34,,,0.4026777148246765,0.833793044090271,0.8218780755996704,0.6580870151519775,0.07593823969364166
0.00049018239986894,14910,,,0.00049018239986894,,0.00049018239986894,,,,,,,,
,15335,0.19916601479053497,0.7750052809715271,,0.9205482602119446,,35,0.8631247878074646,0.10148323327302933,,,,,
,15335,,,,,,35,,,0.40457069873809814,0.8327715396881104,0.8204017281532288,0.6559787392616272,0.07602690160274506
0.000493630193893495,15336,,,0.000493630193893495,,0.000493630193893495,,,,,,,,
,15761,0.20109333097934723,0.7772670388221741,,0.9282310009002686,,36,0.869195282459259,0.10499982535839081,,,,,
,15761,,,,,,36,,,0.4067613184452057,0.8312453031539917,0.8186488747596741,0.6545144319534302,0.07576882094144821
0.0004963499280909045,15762,,,0.0004963499280909045,,0.0004963499280909045,,,,,,,,
,16187,0.20801383256912231,0.764353334903717,,0.9130576848983765,,37,0.8537243008613586,0.10401887446641922,,,,,
,16187,,,,,,37,,,0.4088774621486664,0.8317232131958008,0.8196452856063843,0.6552559733390808,0.07615575939416885
0.0004983249108488167,16188,,,0.0004983249108488167,,0.0004983249108488167,,,,,,,,
,16613,0.20089134573936462,0.7760748863220215,,0.9338827133178711,,38,0.8744548559188843,0.10861776024103165,,,,,
,16613,,,,,,38,,,0.4105425775051117,0.8309537768363953,0.8189153075218201,0.6542314887046814,0.07632268965244293
0.0004995430212597448,16614,,,0.0004995430212597448,,0.0004995430212597448,,,,,,,,
,17039,0.20802053809165955,0.7744372487068176,,0.9313726425170898,,39,0.8719962239265442,0.10815593600273132,,,,,
,17039,,,,,,39,,,0.412083238363266,0.8335035443305969,0.8236128687858582,0.6589013338088989,0.07741064578294754
0.0004999967835097656,17040,,,0.0004999967835097656,,0.0004999967835097656,,,,,,,,
,17465,0.21401025354862213,0.7643155455589294,,0.9148545265197754,,40,0.8506121635437012,0.10739056766033173,,,,,
,17465,,,,,,40,,,0.41454148292541504,0.8327678442001343,0.8223369717597961,0.6573731899261475,0.07726658880710602
0.0004999628895869443,17466,,,0.0004999628895869443,,0.0004999628895869443,,,,,,,,
,17891,0.20038798451423645,0.7837751507759094,,0.9449292421340942,,41,0.8798305988311768,0.11312630027532578,,,,,
,17891,,,,,,41,,,0.41633397340774536,0.8319229483604431,0.8207951188087463,0.6554840803146362,0.07709170877933502
0.0004998362369836698,17892,,,0.0004998362369836698,,0.0004998362369836698,,,,,,,,
,18317,0.2084953933954239,0.7766965627670288,,0.9321311116218567,,42,0.8666200637817383,0.11047276854515076,,,,,
,18317,,,,,,42,,,0.4181431233882904,0.8305327892303467,0.8186015486717224,0.6531883478164673,0.07674120366573334
0.0004996197138989147,18318,,,0.0004996197138989147,,0.0004996197138989147,,,,,,,,
,18743,0.20888058841228485,0.767182469367981,,0.9214485287666321,,43,0.8569929599761963,0.10936074703931808,,,,,
,18743,,,,,,43,,,0.41883406043052673,0.8296355605125427,0.8179439902305603,0.6529138684272766,0.07666929066181183
0.0004993134034159422,18744,,,0.0004993134034159422,,0.0004993134034159422,,,,,,,,
,19169,0.20587533712387085,0.7726181745529175,,0.9270966053009033,,44,0.8675707578659058,0.10700216889381409,,,,,
,19169,,,,,,44,,,0.4195820689201355,0.8287569284439087,0.8161580562591553,0.6497882604598999,0.07688555121421814
0.0004989174230708318,19170,,,0.0004989174230708318,,0.0004989174230708318,,,,,,,,
,19595,0.20452134311199188,0.7748348116874695,,0.9298139810562134,,45,0.8655873537063599,0.10960295051336288,,,,,
,19595,,,,,,45,,,0.4216246008872986,0.8279520869255066,0.8152130246162415,0.6489177346229553,0.07677821815013885
0.0004984319248073792,19596,,,0.0004984319248073792,,0.0004984319248073792,,,,,,,,
,20021,0.20812007784843445,0.7791191339492798,,0.9378603100776672,,46,0.8738090991973877,0.11139628291130066,,,,,
,20021,,,,,,46,,,0.4230237901210785,0.8269943594932556,0.8149838447570801,0.6490463018417358,0.07696341723203659
0.0004978570949187922,20022,,,0.0004978570949187922,,0.0004978570949187922,,,,,,,,
,20447,0.21150176227092743,0.7686477899551392,,0.9255800843238831,,47,0.8578851819038391,0.11231362074613571,,,,,
,20447,,,,,,47,,,0.4251353442668915,0.82708740234375,0.8141472935676575,0.6473878026008606,0.07690971344709396
0.0004971931539762079,20448,,,0.0004971931539762079,,0.0004971931539762079,,,,,,,,
,20873,0.21645650267601013,0.7679327130317688,,0.9216945171356201,,48,0.8561360239982605,0.1096600741147995,,,,,
,20873,,,,,,48,,,0.4268660247325897,0.8250643610954285,0.8118695616722107,0.6448955535888672,0.07688956707715988
0.000496440356744056,20874,,,0.000496440356744056,,0.000496440356744056,,,,,,,,
,21299,0.21601243317127228,0.7588752508163452,,0.9120047092437744,,49,0.8480948805809021,0.10851965099573135,,,,,
,21299,,,,,,49,,,0.42927348613739014,0.8258339762687683,0.8135595321655273,0.6465307474136353,0.07737721502780914
0.0004955989920823012,21300,,,0.0004955989920823012,,0.0004955989920823012,,,,,,,,
,21725,0.21571503579616547,0.7713035941123962,,0.9271141886711121,,50,0.8584867715835571,0.11221907287836075,,,,,
,21725,,,,,,50,,,0.4302496016025543,0.8252601623535156,0.8125911355018616,0.6452221870422363,0.07734993100166321
0.0004946693828356039,21726,,,0.0004946693828356039,,0.0004946693828356039,,,,,,,,
,22151,0.20979391038417816,0.7777205109596252,,0.9398988485336304,,51,0.8707834482192993,0.1156468614935875,,,,,
,22151,,,,,,51,,,0.4327485263347626,0.8243487477302551,0.8117179870605469,0.6443870663642883,0.07735008001327515
0.0004936518857094396,22152,,,0.0004936518857094396,,0.0004936518857094396,,,,,,,,
,22577,0.21197913587093353,0.7695115208625793,,0.9256094694137573,,52,0.8618097901344299,0.10994885861873627,,,,,
,22577,,,,,,52,,,0.43412336707115173,0.8236300945281982,0.8111358880996704,0.6436018943786621,0.07751976698637009
0.0004925468911332247,22578,,,0.0004925468911332247,,0.0004925468911332247,,,,,,,,
,23003,0.21089230477809906,0.781868577003479,,0.9440978169441223,,53,0.8749889731407166,0.11566904187202454,,,,,
,23003,,,,,,53,,,0.4361149072647095,0.8211694359779358,0.8074719905853271,0.639650821685791,0.07706166058778763
0.0004913548231105036,23004,,,0.0004913548231105036,,0.0004913548231105036,,,,,,,,
,23429,0.21828022599220276,0.7715320587158203,,0.9326325058937073,,54,0.862576425075531,0.115578293800354,,,,,
