lr-AdamW/pg3,valid_loss_a,valid_loss,step,lr-AdamW/pg2,epoch,valid_loss_c,valid_collapse,lr-AdamW/pg1,valid_loss_t,train_loss,train_loss_a,train_loss_c,train_collapse,train_loss_t
0.00025,,,0,0.00025,,,,0.00025,,,,,,
,0.07262726128101349,0.8186414241790771,212,,0,0.9760332107543945,0.01260141097009182,,0.5159950852394104,,,,,
,,,212,,0,,,,,1.0384740829467773,0.06731607019901276,0.9804129004478455,0.01140498649328947,0.9619031548500061
0.0002503818314439925,,,213,0.0002503818314439925,,,,0.0002503818314439925,,,,,,
,0.07091064751148224,0.8217537999153137,425,,1,0.9856537580490112,0.03996734693646431,,0.5160325169563293,,,,,
,,,425,,1,,,,,0.9992977380752563,0.03918967768549919,0.9608791470527649,0.03304215148091316,0.9593367576599121
0.00025152499305194405,,,426,0.00025152499305194405,,,,0.00025152499305194405,,,,,,
,0.11496207863092422,0.8585785627365112,638,,2,0.971304178237915,0.07259105890989304,,0.5159287452697754,,,,,
,,,638,,2,,,,,0.996880292892456,0.08203127235174179,0.885834276676178,0.13177110254764557,0.9438638687133789
0.000253422500903095,,,639,0.000253422500903095,,,,0.000253422500903095,,,,,,
,0.09273068606853485,0.8363389372825623,851,,3,0.9717705845832825,0.11977209150791168,,0.5154459476470947,,,,,
,,,851,,3,,,,,1.0058401823043823,0.11191441863775253,0.8540366888046265,0.21860545873641968,0.9338150024414062
0.0002560627625468406,,,852,0.0002560627625468406,,,,0.0002560627625468406,,,,,,
,0.10791520774364471,0.8500546813011169,1064,,4,0.9696928262710571,0.1417602151632309,,0.5145861506462097,,,,,
,,,1064,,4,,,,,1.0094406604766846,0.12921516597270966,0.8336493968963623,0.29308581352233887,0.9268016219139099
0.0002594296478245257,,,1065,0.0002594296478245257,,,,0.0002594296478245257,,,,,,
,0.13167229294776917,0.8723239898681641,1277,,5,0.9670498967170715,0.15684367716312408,,0.5142533779144287,,,,,
,,,1277,,5,,,,,1.016335368156433,0.14247335493564606,0.8253032565116882,0.3424360156059265,0.92242032289505
0.000263502587413473,,,1278,0.000263502587413473,,,,0.000263502587413473,,,,,,
,0.18594714999198914,0.9274130463600159,1490,,6,0.9674973487854004,0.18535694479942322,,0.5154344439506531,,,,,
,,,1490,,6,,,,,1.0173403024673462,0.15101400017738342,0.8150820732116699,0.3959806561470032,0.9175704717636108
0.00026825669849120967,,,1491,0.00026825669849120967,,,,0.00026825669849120967,,,,,,
,0.22328592836856842,0.9620109796524048,1703,,7,0.9632899165153503,0.16366948187351227,,0.5141603350639343,,,,,
,,,1703,,7,,,,,1.021789789199829,0.15809737145900726,0.8112818598747253,0.4373705983161926,0.9161031246185303
0.0002736629367521725,,,1704,0.0002736629367521725,,,,0.0002736629367521725,,,,,,
,0.16576318442821503,0.902022659778595,1916,,8,0.9581996202468872,0.20507779717445374,,0.5143192410469055,,,,,
,,,1916,,8,,,,,1.019594669342041,0.16159003973007202,0.8042590022087097,0.478272020816803,0.9117498993873596
0.0002796882738481733,,,1917,0.0002796882738481733,,,,0.0002796882738481733,,,,,,
,0.17753836512565613,0.909001350402832,2129,,9,0.9496036767959595,0.23621581494808197,,0.5133222341537476,,,,,
,,,2129,,9,,,,,1.008038878440857,0.1620684266090393,0.7887516021728516,0.5156057476997375,0.9031890034675598
0.0002862958991685896,,,2130,0.0002862958991685896,,,,0.0002862958991685896,,,,,,
,0.18497377634048462,0.9223685264587402,2342,,10,0.9630924463272095,0.2628064751625061,,0.5116970539093018,,,,,
,,,2342,,10,,,,,1.0091253519058228,0.16787824034690857,0.7829017639160156,0.5359863042831421,0.8995926380157471
0.0002934454447275422,,,2343,0.0002934454447275422,,,,0.0002934454447275422,,,,,,
,0.21191664040088654,0.9447296857833862,2555,,11,0.9542567729949951,0.24617990851402283,,0.5113694667816162,,,,,
,,,2555,,11,,,,,1.0069080591201782,0.1709459275007248,0.7760581970214844,0.553626537322998,0.895866334438324
0.0003010932317841563,,,2556,0.0003010932317841563,,,,0.0003010932317841563,,,,,,
,0.253583163022995,0.9790544509887695,2768,,12,0.9420433044433594,0.2725875675678253,,0.5088993310928345,,,,,
,,,2768,,12,,,,,1.0029489994049072,0.17619231343269348,0.7624555826187134,0.5693089365959167,0.8910580277442932
0.00030919253768922926,,,2769,0.00030919253768922926,,,,0.00030919253768922926,,,,,,
,0.25921517610549927,0.9811848402023315,2981,,13,0.9374940991401672,0.27770084142684937,,0.5064452290534973,,,,,
